popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
46,0.993,0.242,237747,0.0962,0.897,A,0.085,-29.548,Major,0.04,135.879,0.2289999999999999,Classical
12,0.994,0.4029999999999999,161160,0.245,0.911,G#,0.165,-14.745,Major,0.0442,144.889,0.407,Classical
29,0.831,0.2269999999999999,173853,0.0666,0.392,G,0.083,-21.772,Minor,0.0403,82.568,0.256,Classical
45,0.264,0.83,216856,0.667,2.04e-4,B,0.109,-3.402,Major,0.0353,114.977,0.512,Country
45,0.945,0.2289999999999999,479160,0.266,0.919,C,0.095,-13.969,Major,0.0464,75.13,0.179,Classical
19,0.0243,0.574,287787,0.848,0.351,D,0.0517,-3.942,Major,0.0597,106.696,0.703,Anime
45,0.125,0.6679999999999999,155933,0.626,0,G#,0.107,-10.085,Major,0.03,123.436,0.963,Country
34,0.105,0.4679999999999999,179840,0.561,3.76e-4,D,0.0407,-8.802999999999999,Major,0.0353,75.072,0.426,Jazz
64,0.111,0.569,245503.5,0.8809999999999999,0,B,0.655,-5.875,Minor,0.366,148.07,0.812,Rap
48,0.242,0.647,215267,0.833,0,A,0.105,-4.496,Major,0.309,70.562,0.636,Hip-Hop
30,0.447,0.754,243160,0.531,0.171,D,0.0887,-6.2170000000000005,Major,0.045,100.968,0.507,Jazz
53,0.0171,0.61,219081,0.43,1.34e-6,G#,0.104,-12.452,Major,0.8809999999999999,78.997,0.3989999999999999,Hip-Hop
58,0.867,0.5670000000000001,272728,0.5870000000000001,0,A,0.13,-5.626,Minor,0.0417,83.046,0.5720000000000001,Hip-Hop
67,0.245,0.813,139507,0.619,0.0151,G,0.113,-8.203,Major,0.0294,114.58,0.774,Rock
63,2.87e-4,0.469,298107,0.976,0.217,C,0.0636,-3.569,Minor,0.111,124.001,0.222,Rap
13,0.0657,0.716,87147,0.421,0.457,C,0.2019999999999999,-13.919,Major,0.0358,107.988,0.716,Anime
29,0.8320000000000001,0.5329999999999999,224348,0.537,0.0202,G,0.1009999999999999,-10.021,Minor,0.0268,160.061,0.181,Classical
41,0.246,0.628,222160,0.5379999999999999,0.00215,F#,0.107,-11.525,Major,0.0324,155.093,0.871,Country
42,0.0382,0.7909999999999999,297933,0.616,0.6729999999999999,E,0.472,-8.981,Minor,0.0762,84.976,0.267,Jazz
50,0.00135,0.618,367625,0.7120000000000001,0.6809999999999999,C,0.1169999999999999,-9.579,Minor,0.0298,119.959,0.606,Jazz
21,0.664,0.374,152268,0.145,0.645,E,0.3279999999999999,-18.797,Minor,0.0444,129.701,0.2269999999999999,Anime
